stkcd,stock,name,year,is_crawled
430070,赛亿智能,北京太一云技术股份有限公司,2015,0.0
430071,首都在线,北京首都在线科技股份有限公司,2012,0.0
430071,首都在线,北京首都在线科技股份有限公司,2013,1.0
430071,首都在线,北京首都在线科技股份有限公司,2014,0.0
430071,首都在线,北京首都在线科技股份有限公司,2015,0.0
430071,首都在线,北京首都在线科技股份有限公司,2016,0.0
430074,德鑫物联,北京德鑫泉物联网科技股份有限公司,2013,0.0
430074,德鑫物联,北京德鑫泉物联网科技股份有限公司,2014,0.0
430074,德鑫物联,北京德鑫泉物联网科技股份有限公司,2015,1.0
430074,德鑫物联,北京德鑫泉物联网科技股份有限公司,2016,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2012,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2013,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2014,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2015,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2016,0.0
430076,国基科技,北京国基科技股份有限公司,2014,0.0
430076,国基科技,北京国基科技股份有限公司,2015,0.0
430076,国基科技,北京国基科技股份有限公司,2016,0.0
430077,道隆软件,北京道隆华尔软件股份有限公司,2014,0.0
430077,道隆软件,北京道隆华尔软件股份有限公司,2015,0.0
430077,道隆软件,北京道隆华尔软件股份有限公司,2016,0.0
430078,君德同创,北京君德同创农牧科技股份有限公司,2014,0.0
430078,君德同创,北京君德同创农牧科技股份有限公司,2015,1.0
430078,君德同创,北京君德同创农牧科技股份有限公司,2016,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2012,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2013,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2014,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2015,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2016,1.0
430081,五八汽车,北京五八汽车科技股份有限公司,2014,0.0
430081,五八汽车,北京五八汽车科技股份有限公司,2015,0.0
430081,五八汽车,北京五八汽车科技股份有限公司,2016,1.0
430082,博雅科技,北京博雅英杰科技股份有限公司,2014,0.0
430082,博雅科技,北京博雅英杰科技股份有限公司,2015,0.0
430082,博雅科技,北京博雅英杰科技股份有限公司,2016,0.0
430083,中科联众,北京中科联众科技股份有限公司,2014,0.0
430083,中科联众,北京中科联众科技股份有限公司,2015,0.0
430083,中科联众,北京中科联众科技股份有限公司,2016,0.0
430084,星和众工,北京星和众工设备技术股份有限公司,2012,0.0
430084,星和众工,北京星和众工设备技术股份有限公司,2013,0.0
430084,星和众工,北京星和众工设备技术股份有限公司,2014,1.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2012,0.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2013,0.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2014,0.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2015,0.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2016,0.0
430087,富电绿能,北京富电绿能科技股份有限公司,2014,0.0
430087,富电绿能,北京富电绿能科技股份有限公司,2015,0.0
430087,富电绿能,北京富电绿能科技股份有限公司,2016,0.0
430088,七维航测,北京七维航测科技股份有限公司,2013,0.0
430088,七维航测,北京七维航测科技股份有限公司,2014,0.0
430088,七维航测,北京七维航测科技股份有限公司,2015,0.0
430088,七维航测,北京七维航测科技股份有限公司,2016,0.0
430090,同辉信息,同辉佳视(北京)信息技术股份有限公司,2013,0.0
430090,同辉信息,同辉佳视(北京)信息技术股份有限公司,2014,0.0
430090,同辉信息,同辉佳视(北京)信息技术股份有限公司,2015,1.0
430090,同辉信息,同辉佳视(北京)信息技术股份有限公司,2016,0.0
430091,东方生态,北京东方润泽生态科技股份有限公司,2013,0.0
430091,东方生态,北京东方润泽生态科技股份有限公司,2014,0.0
430091,东方生态,北京东方润泽生态科技股份有限公司,2015,0.0
430091,东方生态,北京东方润泽生态科技股份有限公司,2016,0.0
430092,金刚游戏,北京金刚游戏科技股份有限公司,2013,0.0
430092,金刚游戏,北京金刚游戏科技股份有限公司,2014,0.0
430092,金刚游戏,北京金刚游戏科技股份有限公司,2015,0.0
430092,金刚游戏,北京金刚游戏科技股份有限公司,2016,0.0
430093,掌上通,北京掌上通网络技术股份有限公司,2012,0.0
430093,掌上通,北京掌上通网络技术股份有限公司,2013,0.0
430093,掌上通,北京掌上通网络技术股份有限公司,2014,0.0
430097,赛德丽,北京赛德丽科技股份有限公司,2014,0.0
430097,赛德丽,北京赛德丽科技股份有限公司,2015,1.0
430097,赛德丽,北京赛德丽科技股份有限公司,2016,0.0
430098,大津股份,北京大津硅藻新材料股份有限公司,2012,0.0
430098,大津股份,北京大津硅藻新材料股份有限公司,2013,0.0
430098,大津股份,北京大津硅藻新材料股份有限公司,2014,0.0
430098,大津股份,北京大津硅藻新材料股份有限公司,2015,0.0
430099,理想固网,北京理想固网科技股份有限公司,2012,0.0
430099,理想固网,北京理想固网科技股份有限公司,2013,0.0
430099,理想固网,北京理想固网科技股份有限公司,2014,0.0
430100,九尊能源,北京九尊能源技术股份有限公司,2012,0.0
430100,九尊能源,北京九尊能源技术股份有限公司,2013,0.0
430100,九尊能源,北京九尊能源技术股份有限公司,2014,0.0
430100,九尊能源,北京九尊能源技术股份有限公司,2015,0.0
430101,泰诚信,北京泰诚信测控技术股份有限公司,2015,0.0
430103,天大清源,北京天大清源通信科技股份有限公司,2012,0.0
430103,天大清源,北京天大清源通信科技股份有限公司,2013,0.0
430103,天大清源,北京天大清源通信科技股份有限公司,2014,0.0
430104,全三维,北京全三维能源科技股份有限公司,2012,0.0
430104,全三维,北京全三维能源科技股份有限公司,2013,0.0
430104,全三维,北京全三维能源科技股份有限公司,2014,0.0
430106,爱特泰克,北京爱特泰克技术股份公司,2015,0.0
430107,朗铭科技,北京土星在线教育科技股份有限公司,2013,0.0
430107,朗铭科技,北京土星在线教育科技股份有限公司,2014,0.0
430107,朗铭科技,北京土星在线教育科技股份有限公司,2015,0.0
430107,朗铭科技,北京土星在线教育科技股份有限公司,2016,0.0
430108,精耕天下,北京精耕天下农业科技股份有限公司,2014,0.0
430108,精耕天下,北京精耕天下农业科技股份有限公司,2015,0.0
430108,精耕天下,北京精耕天下农业科技股份有限公司,2016,0.0
430109,中航讯,北京中航讯科技股份有限公司,2012,0.0
430109,中航讯,北京中航讯科技股份有限公司,2013,0.0
430109,中航讯,北京中航讯科技股份有限公司,2014,0.0
430109,中航讯,北京中航讯科技股份有限公司,2015,0.0
430109,中航讯,北京中航讯科技股份有限公司,2016,0.0
430111,北京航峰,北京航峰科伟装备技术股份有限公司,2013,0.0
430111,北京航峰,北京航峰科伟装备技术股份有限公司,2014,0.0
430111,北京航峰,北京航峰科伟装备技术股份有限公司,2015,0.0
430111,北京航峰,北京航峰科伟装备技术股份有限公司,2016,0.0
430112,弘祥隆,北京弘祥隆生物技术股份有限公司,2012,0.0
430112,弘祥隆,北京弘祥隆生物技术股份有限公司,2013,0.0
430112,弘祥隆,北京弘祥隆生物技术股份有限公司,2014,0.0
430114,永瀚星港,北京永瀚星港生物科技股份有限公司,2014,0.0
430114,永瀚星港,北京永瀚星港生物科技股份有限公司,2015,0.0
430114,永瀚星港,北京永瀚星港生物科技股份有限公司,2016,0.0
430117,航天理想,北京航天理想科技股份有限公司,2015,0.0
430118,中钰医疗,中钰医疗控股(北京)股份有限公司,2014,0.0
430118,中钰医疗,中钰医疗控股(北京)股份有限公司,2015,0.0
430118,中钰医疗,中钰医疗控股(北京)股份有限公司,2016,0.0
430120,金润科技,金润方舟科技股份有限公司,2012,0.0
430120,金润科技,金润方舟科技股份有限公司,2013,0.0
430120,金润科技,金润方舟科技股份有限公司,2014,0.0
430120,金润科技,金润方舟科技股份有限公司,2015,0.0
430120,金润科技,金润方舟科技股份有限公司,2016,0.0
430121,英福美,英福美,2013,1.0
430121,英福美,英福美,2014,0.0
430121,英福美,英福美,2015,0.0
430121,英福美,英福美,2016,0.0
430122,中控智联,北京中控智联科技股份有限公司,2014,0.0
430122,中控智联,北京中控智联科技股份有限公司,2015,0.0
430122,中控智联,北京中控智联科技股份有限公司,2016,0.0
430123,速原中天,北京速原中天科技股份公司,2012,1.0
430123,速原中天,北京速原中天科技股份公司,2013,0.0
430123,速原中天,北京速原中天科技股份公司,2014,0.0
430123,速原中天,北京速原中天科技股份公司,2015,0.0
430123,速原中天,北京速原中天科技股份公司,2016,0.0
430124,汉唐自远,北京汉唐自远技术股份有限公司,2014,1.0
430124,汉唐自远,北京汉唐自远技术股份有限公司,2015,0.0
430124,汉唐自远,北京汉唐自远技术股份有限公司,2016,0.0
430127,英雄互娱,英雄互娱科技股份有限公司,2014,0.0
430127,英雄互娱,英雄互娱科技股份有限公司,2015,0.0
430127,英雄互娱,英雄互娱科技股份有限公司,2016,0.0
430128,广厦网络,北京广厦网络技术股份公司,2014,0.0
430128,广厦网络,北京广厦网络技术股份公司,2015,1.0
430128,广厦网络,北京广厦网络技术股份公司,2016,0.0
430130,卡联科技,卡联科技集团股份有限公司,2014,0.0
430130,卡联科技,卡联科技集团股份有限公司,2015,1.0
430130,卡联科技,卡联科技集团股份有限公司,2016,1.0
430132,国铁科林,北京国铁科林科技股份有限公司,2012,0.0
430132,国铁科林,北京国铁科林科技股份有限公司,2013,0.0
430132,国铁科林,北京国铁科林科技股份有限公司,2014,0.0
430133,赛孚制药,北京赛孚制药股份有限公司,2014,0.0
430133,赛孚制药,北京赛孚制药股份有限公司,2015,0.0
430133,赛孚制药,北京赛孚制药股份有限公司,2016,0.0
430134,可来博,北京中科可来博电子科技股份有限公司,2015,0.0
430135,三益能环,北京三益能源环保发展股份有限公司,2013,0.0
430135,三益能环,北京三益能源环保发展股份有限公司,2014,0.0
430135,三益能环,北京三益能源环保发展股份有限公司,2015,0.0
430135,三益能环,北京三益能源环保发展股份有限公司,2016,0.0
430136,国顺投资,北京国顺投资股份有限公司,2014,0.0
430136,国顺投资,北京国顺投资股份有限公司,2015,0.0
430136,国顺投资,北京国顺投资股份有限公司,2016,0.0
430139,华岭股份,上海华岭集成电路技术股份有限公司,2013,0.0
430139,华岭股份,上海华岭集成电路技术股份有限公司,2014,1.0
430139,华岭股份,上海华岭集成电路技术股份有限公司,2015,0.0
430140,新眼光,上海新眼光医疗器械股份有限公司,2013,0.0
430140,新眼光,上海新眼光医疗器械股份有限公司,2014,0.0
430140,新眼光,上海新眼光医疗器械股份有限公司,2015,0.0
430141,久日新材,天津久日新材料股份有限公司,2012,1.0
430141,久日新材,天津久日新材料股份有限公司,2013,0.0
430141,久日新材,天津久日新材料股份有限公司,2014,0.0
430141,久日新材,天津久日新材料股份有限公司,2015,0.0
430141,久日新材,天津久日新材料股份有限公司,2016,0.0
430142,锐新昌,天津锐新昌科技股份有限公司,2015,0.0
430143,武大科技,湖北武大有机硅新材料股份有限公司,2012,0.0
430143,武大科技,湖北武大有机硅新材料股份有限公司,2013,0.0
430143,武大科技,湖北武大有机硅新材料股份有限公司,2014,0.0
430144,煦联得,北京煦联得节能科技股份有限公司,2012,0.0
430144,煦联得,北京煦联得节能科技股份有限公司,2013,0.0
430144,煦联得,北京煦联得节能科技股份有限公司,2014,1.0
430144,煦联得,北京煦联得节能科技股份有限公司,2015,0.0
430144,煦联得,北京煦联得节能科技股份有限公司,2016,1.0
430145,智立医学,北京智立医学技术股份有限公司,2014,0.0
430145,智立医学,北京智立医学技术股份有限公司,2015,0.0
430145,智立医学,北京智立医学技术股份有限公司,2016,0.0
430147,中矿龙科,中矿龙科能源科技(北京)股份有限公司,2012,0.0
430147,中矿龙科,中矿龙科能源科技(北京)股份有限公司,2013,0.0
430147,中矿龙科,中矿龙科能源科技(北京)股份有限公司,2014,0.0
430147,中矿龙科,中矿龙科能源科技(北京)股份有限公司,2015,0.0
430148,科能腾达,北京科能腾达信息技术股份有限公司,2012,0.0
430148,科能腾达,北京科能腾达信息技术股份有限公司,2013,0.0
430148,科能腾达,北京科能腾达信息技术股份有限公司,2014,0.0
430148,科能腾达,北京科能腾达信息技术股份有限公司,2015,0.0
430148,科能腾达,北京科能腾达信息技术股份有限公司,2016,0.0
430149,江仪股份,湖北江汉石油仪器仪表股份有限公司,2015,0.0
430150,创和通讯,北京创和世纪通讯技术股份有限公司,2014,0.0
430150,创和通讯,北京创和世纪通讯技术股份有限公司,2015,0.0
430150,创和通讯,北京创和世纪通讯技术股份有限公司,2016,0.0
430152,思创银联,北京思创银联科技股份有限公司,2012,0.0
430152,思创银联,北京思创银联科技股份有限公司,2013,0.0
430152,思创银联,北京思创银联科技股份有限公司,2014,0.0
