stkcd,stock,name,year,is_crawled
831773,金巴赫,青岛金巴赫国际物流股份有限公司,2015,1
430541,翼兴节能,大连翼兴节能科技股份有限公司,2016,1
831340,金童股份,苏州金童机械制造股份有限公司,2014,1
832077,合成药业,陕西合成药业股份有限公司,2015,1
835130,天环创新,广东天环创新科技股份有限公司,2015,1
832841,天语和声,天语和声,2016,1
430556,雅达股份,广东雅达电子股份有限公司,2016,1
430263,蓝天环保,北京蓝天瑞德环保技术股份有限公司,2016,1
832629,易信达,成都易信达科技股份有限公司,2014,1
830937,信达智能,湖南信达智能设备股份有限公司,2016,1
831400,九信资产,九信资产,2014,1
831799,九华山酒,安徽九华山酒业股份有限公司,2016,1
430230,银都传媒,武汉银都文化传媒股份有限公司,2014,1
430130,卡联科技,卡联科技集团股份有限公司,2016,1
832471,美邦科技,河北美邦工程科技股份有限公司,2014,1
831677,天意有福,天意有福科技股份有限公司,2016,1
830799,艾融软件,上海艾融软件股份有限公司,2015,1
834448,遥望网络,遥望网络,2016,1
831235,点米科技,点米网络科技股份有限公司,2016,1
832972,中能股份,黑龙江省中能控制工程股份有限公司,2016,1
831212,耐磨科技,云南昆钢耐磨材料科技股份有限公司,2016,1
834460,亿美汇金,北京亿美汇金信息技术股份有限公司,2015,1
832836,银钢一通,四川银钢一通凸轮科技股份有限公司,2015,1
832060,施可瑞,福建施可瑞医疗科技股份有限公司,2016,1
832507,晶宇环境,上海晶宇环境工程股份有限公司,2016,1
833714,安世亚太,安世亚太,2016,1
430198,微创光电,武汉微创光电股份有限公司,2012,1
430682,中天羊业,甘肃中天羊业股份有限公司,2014,1
831424,薪泽奇,江苏薪泽奇机械股份有限公司,2016,1
837022,雄狮装饰,山东雄狮建筑装饰股份有限公司,2015,1
835994,咏声动漫,咏声动漫,2015,1
837489,印克电商,上海印克电子商务股份有限公司,2015,1
831476,硕源科技,广东硕源科技股份有限公司,2015,1
831829,同方软银,大连同方软银科技股份有限公司,2016,1
833521,海积信息,上海海积信息科技股份有限公司,2015,1
834464,纽哈斯,北京纽哈斯科技股份有限公司,2015,1
830766,博锐尚格,博锐尚格,2016,1
831524,康耀电子,河南康耀电子股份有限公司,2014,1
835857,百甲科技,徐州中煤百甲重钢科技股份有限公司,2015,1
831105,盟云移软,上海盟云移软网络科技股份有限公司,2014,1
831073,瑞恒科技,福建瑞恒信息科技股份有限公司,2016,1
832308,旺盛园林,山东旺盛园林股份有限公司,2014,1
833123,瑞丰股份,重庆瑞丰包装股份有限公司,2014,1
832838,华绿生物,江苏华绿生物科技股份有限公司,2015,1
831754,康能生物,江苏康能生物工程股份有限公司,2014,1
831101,奥维云网,北京奥维云网大数据科技股份有限公司,2016,1
430015,盖特佳,北京盖特佳信息科技股份有限公司,2014,1
833416,掌上纵横,掌上纵横信息技术(北京)股份有限公司,2016,1
